Category,Product URL,Purity,Gold Weight,Diamond Weight,Image Link,
ring,https://geer.in/products/delavia-freeform-round-cut-delicate-ring-1/from_collection=lab-grown-diamonds-rings,14K,2.09 g,0.25 ct,https://geer.in/cdn/shop/files/GJLR-001_R1.jpg?v=1750412031,GJLR-001_R1.jpg
ring,https://geer.in/products/zivania-0-5ct-bypass-princess-cut-classic-ring-copy-1/from_collection=lab-grown-diamonds-rings,14K,3.23 g,0.66 ct,https://geer.in/cdn/shop/files/GJLR-049_R1.jpg?v=1750408611,GJLR-049_R1.jpg
ring,https://geer.in/products/eminence-solitaire-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.79 g,0.29 ct,https://geer.in/cdn/shop/files/GJLR-117_R1.jpg?v=1750506042,GJLR-117_R1.jpg
ring,https://geer.in/products/sidorra-0-5ct-surface-emerald-cut-side-stone-ring-1/from_collection=lab-grown-diamonds-rings,14K,1.74 g,0.6 ct,https://geer.in/cdn/shop/files/GJLR-002_R1.jpg?v=1750411978,GJLR-002_R1.jpg
ring,https://geer.in/products/brilliant-round-delicate-gold-ring/from_collection=lab-grown-diamonds-rings,14K,1.41 g,0.23 ct,https://geer.in/cdn/shop/files/GJLR-084_R1.jpg?v=1750406726,GJLR-084_R1.jpg
ring,https://geer.in/products/valerion-0-75ct-pear-sidestone-emerald-cut-ring-copy-2/from_collection=lab-grown-diamonds-rings,14K,2.26 g,1.5 ct,https://geer.in/cdn/shop/files/GJLR-025_R1.jpg?v=1750410377,GJLR-025_R1.jpg
ring,https://geer.in/products/3k-solitaire-diamond-ring-copy-6/from_collection=lab-grown-diamonds-rings,14K,1.70 g,0.42 ct,https://geer.in/cdn/shop/files/GJLR-014_R1.jpg?v=1750411634,GJLR-014_R1.jpg
ring,https://geer.in/products/soltressa-1ct-four-prong-round-cut-solitaire-ring/from_collection=lab-grown-diamonds-rings,14K,2.16 g,1.0 ct,https://geer.in/cdn/shop/files/GJLR-005_Y1.jpg?v=1750239821,GJLR-005_Y1.jpg
ring,https://geer.in/products/liora-round-radiance-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,1.34 ct,https://geer.in/cdn/shop/files/GJLR-103_W1.jpg?v=1750401656,GJLR-103_W1.jpg
ring,https://geer.in/products/valoria-shared-prong-round-shape-ring/from_collection=lab-grown-diamonds-rings,14K,1.26 g,0.32 ct,https://geer.in/cdn/shop/files/GJLR-062_R1.jpg?v=1750408162,GJLR-062_R1.jpg
ring,https://geer.in/products/sidenaire-4ct-standard-emerald-cut-side-stone-ring/from_collection=lab-grown-diamonds-rings,14K,1.76 g,0.32 ct,https://geer.in/cdn/shop/files/GJLR-043_R1.jpg?v=1750409676,GJLR-043_R1.jpg
ring,https://geer.in/products/delicor-double-twist-round-cut-delicate-ring-copy-1/from_collection=lab-grown-diamonds-rings,14K,2.27 g,0.33 ct,https://geer.in/cdn/shop/files/GJLR-048.jpg?v=1750408756,GJLR-048.jpg
ring,https://geer.in/products/vistara-shared-prong-round-cut-side-stone-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.38 g,0.39 ct,https://geer.in/cdn/shop/files/GJLR-045_R1.jpg?v=1750409126,GJLR-045_R1.jpg
ring,https://geer.in/products/serenelle-trio-spark-ring/from_collection=lab-grown-diamonds-rings,14K,1.49 g,0.26 ct,https://geer.in/cdn/shop/files/GJLR-151_R1.jpg?v=1750401675,GJLR-151_R1.jpg
ring,https://geer.in/products/orla-fine-solitaire-ring/from_collection=lab-grown-diamonds-rings,14K,1.70 g,1.17 ct,https://geer.in/cdn/shop/files/GJLR-153_R1.jpg?v=1750401733,GJLR-153_R1.jpg
ring,https://geer.in/products/haliena-1ct-spli-shank-round-cut-halo-ring-copy/from_collection=lab-grown-diamonds-rings,14K,3.08 g,1.37 ct,https://geer.in/cdn/shop/files/GJLR-089_R1.jpg?v=1750331630,GJLR-089_R1.jpg
ring,https://geer.in/products/elara-solitaire-promise-ring/from_collection=lab-grown-diamonds-rings,14K,1.96 g,1.05 ct,https://geer.in/cdn/shop/files/GJLR-161_R1.jpg?v=1750393174,GJLR-161_R1.jpg
ring,https://geer.in/products/liora-heartbeat-ring/from_collection=lab-grown-diamonds-rings,14K,2.01 g,0.86 ct,https://geer.in/cdn/shop/files/GJLR-178_Y1.jpg?v=1751616781,GJLR-178_Y1.jpg
