Product Title,Variant Title,Purity,Gold Weight,Diamond Weight,Price,Variant ID,Image 1,Image 2,LocalImage
Clarity Cuff Diamond Flexi Bracelet,9 KT / White Gold,9K,5.69,1.11,78122.0,51063909515552,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00046-045_W1.jpg?v=1766755943,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00046-045_W2.jpg?v=1766755943,KI-BG00046-045_W1.jpg
Clarity Cuff Diamond Flexi Bracelet,14 KT / White Gold,14K,6.25,1.11,102631.0,51063909613856,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00046-045_W1.jpg?v=1766755943,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00046-045_W2.jpg?v=1766755943,KI-BG00046-045_W1.jpg
Clarity Cuff Diamond Flexi Bracelet,18 KT / White Gold,18K,7.5,1.11,134709.0,51063909712160,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00046-045_W1.jpg?v=1766755943,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00046-045_W2.jpg?v=1766755943,KI-BG00046-045_W1.jpg
Soft Glow Diamond Flexi Bracelet,9 KT / Rose Gold,9K,4.5,1.21,73862.0,51063909187872,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00041-045_R1.jpg?v=1766754959,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00041-045_R2.jpg?v=1766754959,KI-BG00041-045_R1.jpg
Soft Glow Diamond Flexi Bracelet,14 KT / Rose Gold,14K,4.97,1.21,93501.0,51063909286176,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00041-045_R1.jpg?v=1766754959,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00041-045_R2.jpg?v=1766754959,KI-BG00041-045_R1.jpg
Soft Glow Diamond Flexi Bracelet,18 KT / Rose Gold,18K,5.85,1.21,117624.0,51063909384480,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00041-045_R1.jpg?v=1766754959,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00041-045_R2.jpg?v=1766754959,KI-BG00041-045_R1.jpg
NovaBand Diamond Flexi Bracelet,9 KT / Yellow Gold,9K,4.78,1.38,80716.0,51063908860192,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00044-045_Y1.jpg?v=1766753276,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00044-045_Y2.jpg?v=1766753311,KI-BG00044-045_Y1.jpg
NovaBand Diamond Flexi Bracelet,14 KT / Yellow Gold,14K,5.25,1.38,101301.0,51063908958496,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00044-045_Y1.jpg?v=1766753276,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00044-045_Y2.jpg?v=1766753311,KI-BG00044-045_Y1.jpg
NovaBand Diamond Flexi Bracelet,18 KT / Yellow Gold,18K,6.3,1.38,128246.0,51063909056800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00044-045_Y1.jpg?v=1766753276,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00044-045_Y2.jpg?v=1766753311,KI-BG00044-045_Y1.jpg
Veloura Diamond Flexi Bracelet,9 KT / Yellow Gold,9K,4.78,1.04,69204.0,51063908565280,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00042-045_Y1.jpg?v=1766488561,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/KI-BG00042-045_Y2.jpg?v=1766488726,KI-BG00042-045_Y1.jpg
