Product Title,Variant Title,Purity,Gold Weight,Diamond Weight,Price,Variant ID,Image 1,Image 2,LocalImage
The V Drop Diamond Earrings,9 KT / Rose Gold,9K,0.9375,0.132,11280.0,50728373649696,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000931_R1.jpg?v=1759469399,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000931_R2.jpg?v=1759469399,DER000931_R1.jpg
The V Drop Diamond Earrings,14 KT / Rose Gold,14K,1.0625,0.132,15627.0,50136750981408,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000931_R1.jpg?v=1759469399,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000931_R2.jpg?v=1759469399,DER000931_R1.jpg
The V Drop Diamond Earrings,18 KT / Rose Gold,18K,1.25,0.132,20776.0,50136751079712,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000931_R1.jpg?v=1759469399,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000931_R2.jpg?v=1759469399,DER000931_R1.jpg
Crystal Pull Diamond Earrings,9 KT / Rose Gold,9K,0.975,0.125,11321.0,50728373551392,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000933_R1.jpg?v=1759469603,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000933_R2.jpg?v=1759469603,DER000933_R1.jpg
Crystal Pull Diamond Earrings,14 KT / Rose Gold,14K,1.105,0.125,15842.0,50136751669536,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000933_R1.jpg?v=1759469603,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000933_R2.jpg?v=1759469603,DER000933_R1.jpg
Crystal Pull Diamond Earrings,18 KT / Rose Gold,18K,1.3,0.125,21198.0,50136751767840,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000933_R1.jpg?v=1759469603,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000933_R2.jpg?v=1759469603,DER000933_R1.jpg
Pop Up Sparkles Diamond Hoops,9 KT / Yellow Gold,9K,1.05,0.105,11346.0,50728373059872,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000936_Y1.jpg?v=1756378132,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000936_Y2.jpg?v=1756378621,DER000936_Y1.jpg
Pop Up Sparkles Diamond Hoops,14 KT / Yellow Gold,14K,1.19,0.105,16215.0,50136755470624,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000936_Y1.jpg?v=1756378132,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000936_Y2.jpg?v=1756378621,DER000936_Y1.jpg
Pop Up Sparkles Diamond Hoops,18 KT / Yellow Gold,18K,1.4,0.105,21983.0,50136755568928,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000936_Y1.jpg?v=1756378132,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000936_Y2.jpg?v=1756378621,DER000936_Y1.jpg
Side Bling Diamond Earrings,9 KT / Yellow Gold,9K,1.0875,0.111,11811.0,50728373190944,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000935_Y1.jpg?v=1756378128,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000935_Y2.jpg?v=1756378619,DER000935_Y1.jpg
Side Bling Diamond Earrings,14 KT / Yellow Gold,14K,1.2325,0.111,16854.0,50136755011872,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000935_Y1.jpg?v=1756378128,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000935_Y2.jpg?v=1756378619,DER000935_Y1.jpg
Side Bling Diamond Earrings,18 KT / Yellow Gold,18K,1.45,0.111,22828.0,50136755110176,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000935_Y1.jpg?v=1756378128,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000935_Y2.jpg?v=1756378619,DER000935_Y1.jpg
Criss Cross Diamond Earrings,9 KT / Rose Gold,9K,1.05,0.131,12040.0,50728372928800,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000919_R1.jpg?v=1759470176,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000919_R2.jpg?v=1759470176,DER000919_R1.jpg
Criss Cross Diamond Earrings,14 KT / Rose Gold,14K,1.19,0.131,16909.0,50136755634464,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000919_R1.jpg?v=1759470176,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000919_R2.jpg?v=1759470176,DER000919_R1.jpg
Criss Cross Diamond Earrings,18 KT / Rose Gold,18K,1.4,0.131,22676.0,50136755732768,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000919_R1.jpg?v=1759470176,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000919_R2.jpg?v=1759470176,DER000919_R1.jpg
Entwined Diamond Earrings,9 KT / Rose Gold,9K,0.975,0.171,12548.0,50728373387552,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000934_R1.jpg?v=1759470288,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000934_R2.jpg?v=1759470288,DER000934_R1.jpg
Entwined Diamond Earrings,14 KT / Rose Gold,14K,1.105,0.171,17069.0,50136754553120,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000934_R1.jpg?v=1759470288,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000934_R2.jpg?v=1759470288,DER000934_R1.jpg
Entwined Diamond Earrings,18 KT / Rose Gold,18K,1.3,0.171,22425.0,50136754651424,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000934_R1.jpg?v=1759470288,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000934_R2.jpg?v=1759470288,DER000934_R1.jpg
Pear Round Swirl Diamond Stud Earrings,9 KT / Yellow Gold,9K,1.092,0.165,12563.0,51252763689248,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001541_Y1.jpg?v=1771492177,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001541_Y2.jpg?v=1771492177,DER001541_Y1.jpg
Pear Round Swirl Diamond Stud Earrings,14 KT / Yellow Gold,14K,1.2,0.165,17272.0,51252763787552,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001541_Y1.jpg?v=1771492177,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001541_Y2.jpg?v=1771492177,DER001541_Y1.jpg
Pear Round Swirl Diamond Stud Earrings,18 KT / Yellow Gold,18K,1.44,0.165,23431.0,51252763885856,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001541_Y1.jpg?v=1771492177,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001541_Y2.jpg?v=1771492177,DER001541_Y1.jpg
Fine Frame Diamond Stud Earrings,9 KT / Yellow Gold,9K,1.4295,0.07,12735.0,50728326922528,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001140_Y1.jpg?v=1754119063,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001140_Y2.jpg?v=1754119343,DER001140_Y1.jpg
Fine Frame Diamond Stud Earrings,14 KT / Yellow Gold,14K,1.6201,0.07,19364.0,50523555528992,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001140_Y1.jpg?v=1754119063,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001140_Y2.jpg?v=1754119343,DER001140_Y1.jpg
Fine Frame Diamond Stud Earrings,18 KT / Yellow Gold,18K,1.91,0.07,27265.0,50523555627296,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001140_Y1.jpg?v=1754119063,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001140_Y2.jpg?v=1754119343,DER001140_Y1.jpg
Little Moments Diamond Stud Earrings,9 KT / Yellow Gold,9K,1.05,0.18,12784.0,50728337899808,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001087_Y1.jpg?v=1754118894,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001087_Y2.jpg?v=1763633160,DER001087_Y1.jpg
Little Moments Diamond Stud Earrings,14 KT / Yellow Gold,14K,1.19,0.18,17654.0,50523551007008,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001087_Y1.jpg?v=1754118894,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001087_Y2.jpg?v=1763633160,DER001087_Y1.jpg
Little Moments Diamond Stud Earrings,18 KT / Yellow Gold,18K,1.4,0.18,23421.0,50523551105312,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001087_Y1.jpg?v=1754118894,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001087_Y2.jpg?v=1763633160,DER001087_Y1.jpg
XOXO Diamond Earrings,9 KT / Yellow Gold,9K,0.975,0.18,12788.0,50728373289248,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000937_Y1.jpg?v=1756378138,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000937_Y2.jpg?v=1756378624,DER000937_Y1.jpg
XOXO Diamond Earrings,14 KT / Yellow Gold,14K,1.105,0.18,17309.0,50136754815264,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000937_Y1.jpg?v=1756378138,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000937_Y2.jpg?v=1756378624,DER000937_Y1.jpg
XOXO Diamond Earrings,18 KT / Yellow Gold,18K,1.3,0.18,22665.0,50136754913568,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000937_Y1.jpg?v=1756378138,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000937_Y2.jpg?v=1756378624,DER000937_Y1.jpg
The Glint Diamond Earrings,9 KT / Yellow Gold,9K,1.05,0.164,12920.0,50728372732192,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000917_Y1.jpg?v=1756378042,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000917_Y2.jpg?v=1756378568,DER000917_Y1.jpg
The Glint Diamond Earrings,14 KT / Yellow Gold,14K,1.19,0.164,17789.0,50136756125984,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000917_Y1.jpg?v=1756378042,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000917_Y2.jpg?v=1756378568,DER000917_Y1.jpg
The Glint Diamond Earrings,18 KT / Yellow Gold,18K,1.4,0.164,23557.0,50136756224288,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000917_Y1.jpg?v=1756378042,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000917_Y2.jpg?v=1756378568,DER000917_Y1.jpg
Hearthrob Diamond Earrings,9 KT / Rose Gold,9K,1.2375,0.107,13028.0,50728364638496,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000920_R1_85ac7f44-1796-4df0-84cb-6dc562763eb6.jpg?v=1759921119,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000920_R2_efc380df-a7d2-40a9-9380-b9de71b9fbf3.jpg?v=1763633083,DER000920_R1_85ac7f44-1796-4df0-84cb-6dc562763eb6.jpg
Hearthrob Diamond Earrings,14 KT / Rose Gold,14K,1.4025,0.107,18767.0,50136765235488,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000920_R1_85ac7f44-1796-4df0-84cb-6dc562763eb6.jpg?v=1759921119,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000920_R2_efc380df-a7d2-40a9-9380-b9de71b9fbf3.jpg?v=1763633083,DER000920_R1_85ac7f44-1796-4df0-84cb-6dc562763eb6.jpg
Hearthrob Diamond Earrings,18 KT / Rose Gold,18K,1.65,0.107,25564.0,50136765333792,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000920_R1_85ac7f44-1796-4df0-84cb-6dc562763eb6.jpg?v=1759921119,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000920_R2_efc380df-a7d2-40a9-9380-b9de71b9fbf3.jpg?v=1763633083,DER000920_R1_85ac7f44-1796-4df0-84cb-6dc562763eb6.jpg
Rose Round Diamond Stud Earrings,9 KT / Rose Gold,9K,1.125,0.17,13088.0,51157641199904,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001208_R1.jpg?v=1771500767,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001208_R2.jpg?v=1771500767,DER001208_R1.jpg
Rose Round Diamond Stud Earrings,14 KT / Rose Gold,14K,1.275,0.17,18305.0,51157641298208,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001208_R1.jpg?v=1771500767,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001208_R2.jpg?v=1771500767,DER001208_R1.jpg
Rose Round Diamond Stud Earrings,18 KT / Rose Gold,18K,1.5,0.17,24484.0,51157641396512,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001208_R1.jpg?v=1771500767,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER001208_R2.jpg?v=1771500767,DER001208_R1.jpg
Pinwheel Diamond Earrings,9 KT / Rose Gold,9K,1.125,0.152,13210.0,50728372207904,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000932_R1.jpg?v=1759470317,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000932_R2.jpg?v=1759470317,DER000932_R1.jpg
Pinwheel Diamond Earrings,14 KT / Rose Gold,14K,1.275,0.152,18427.0,50136758419744,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000932_R1.jpg?v=1759470317,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000932_R2.jpg?v=1759470317,DER000932_R1.jpg
Pinwheel Diamond Earrings,18 KT / Rose Gold,18K,1.5,0.152,24606.0,50136758518048,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000932_R1.jpg?v=1759470317,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/DER000932_R2.jpg?v=1759470317,DER000932_R1.jpg
